Northern Hemisphere Sea Ice Extent (1979-2020)
Units: million square km
1981-2010 Mean: 11.64
Date,Value,Anomaly
197901,15.41,3.77
197902,16.18,4.54
197903,16.34,4.70
197904,15.45,3.81
197905,13.86,2.22
197906,12.53,0.89
197907,10.31,-1.33
197908,8.04,-3.60
197909,7.05,-4.59
197910,8.75,-2.89
197911,10.94,-0.70
197912,13.34,1.70
198001,14.86,3.22
198002,15.96,4.32
198003,16.04,4.40
198004,15.43,3.79
198005,13.79,2.15
198006,12.20,0.56
198007,10.10,-1.54
198008,7.98,-3.66
198009,7.67,-3.97
198010,9.18,-2.46
198011,11.38,-0.26
198012,13.59,1.95
198101,14.91,3.27
198102,15.60,3.96
198103,15.63,3.99
198104,15.01,3.37
198105,13.80,2.16
198106,12.43,0.79
198107,10.27,-1.37
198108,7.84,-3.80
198109,7.14,-4.50
198110,8.86,-2.78
198111,10.93,-0.71
198112,13.34,1.70
198201,15.18,3.54
198202,15.97,4.33
198203,16.04,4.40
198204,15.47,3.83
198205,13.97,2.33
198206,12.48,0.84
198207,10.37,-1.27
198208,8.14,-3.50
198209,7.30,-4.34
198210,9.42,-2.22
198211,11.63,-0.01
198212,13.64,2.00
198301,14.94,3.30
198302,16.01,4.37
198303,16.09,4.45
198304,15.17,3.53
198305,13.49,1.85
198306,12.30,0.66
198307,10.57,-1.07
198308,8.19,-3.45
198309,7.39,-4.25
198310,9.33,-2.31
198311,11.46,-0.18
198312,13.30,1.66
198401,14.47,2.83
198402,15.30,3.66
198403,15.58,3.94
198404,15.01,3.37
198405,13.58,1.94
198406,12.15,0.51
198407,9.98,-1.66
198408,7.77,-3.87
198409,6.81,-4.83
198410,8.56,-3.08
198411,10.84,-0.80
198412,12.99,1.35
198501,14.72,3.08
198502,15.47,3.83
198503,15.89,4.25
198504,15.36,3.72
198505,14.07,2.43
198506,12.22,0.58
198507,9.74,-1.90
198508,7.40,-4.24
198509,6.70,-4.94
198510,8.55,-3.09
198511,11.02,-0.62
198512,13.05,1.41
198601,14.89,3.25
198602,15.78,4.14
198603,15.91,4.27
198604,15.06,3.42
198605,13.38,1.74
198606,11.98,0.34
198607,10.15,-1.49
198608,7.98,-3.66
198609,7.41,-4.23
198610,9.48,-2.16
198611,11.45,-0.19
198612,13.22,1.58
198701,14.97,3.33
198702,16.05,4.41
198703,15.82,4.18
198704,15.21,3.57
198705,13.74,2.10
198706,12.49,0.85
198707,10.33,-1.31
198708,7.63,-4.01
198709,7.28,-4.36
198710,9.05,-2.59
198711,11.22,-0.42
198712,-9999,-9999
198801,-9999,-9999
198802,15.58,3.94
198803,15.96,4.32
198804,15.12,3.48
198805,13.56,1.92
198806,11.94,0.30
198807,9.81,-1.83
198808,7.89,-3.75
198809,7.37,-4.27
198810,9.13,-2.51
198811,11.33,-0.31
198812,13.63,1.99
198901,14.95,3.31
198902,15.50,3.86
198903,15.42,3.78
198904,14.33,2.69
198905,13.04,1.40
198906,12.24,0.60
198907,10.13,-1.51
198908,7.88,-3.76
198909,7.01,-4.63
198910,8.83,-2.81
198911,11.12,-0.52
198912,13.39,1.75
199001,14.78,3.14
199002,15.58,3.94
199003,15.87,4.23
199004,14.65,3.01
199005,13.23,1.59
199006,11.64,0.00
199007,9.25,-2.39
199008,6.80,-4.84
199009,6.14,-5.50
199010,8.48,-3.16
199011,11.08,-0.56
